ColumnName,ID,Description
CITY_ID,545,BEVERLY HILLS
CITY_ID,546,BEVIL OAKS
CITY_ID,547,BIG SANDY
CITY_ID,548,BIG WELLS
CITY_ID,549,BIGFOOT
CITY_ID,550,BISHOP HILLS
CITY_ID,551,VERIBEST
CITY_ID,552,BLACKWELL
CITY_ID,553,BLANCO
CITY_ID,554,BLANKET
CITY_ID,555,BLESSING
CITY_ID,556,BLOOMBURG
CITY_ID,557,BLOOMING GROVE
CITY_ID,558,BLOOMINGTON
CITY_ID,559,BLOSSOM
CITY_ID,561,BLUE MOUND
CITY_ID,562,BLUE RIDGE
CITY_ID,564,BLUM
CITY_ID,565,BOGATA
CITY_ID,566,BOLING-IAGO
CITY_ID,567,BOLIVAR PENINSULA
CITY_ID,568,BONNEY
CITY_ID,569,BOOKER
CITY_ID,571,BOVINA
CITY_ID,573,BOYD
CITY_ID,574,BRACKETTVILLE
CITY_ID,575,BREMOND
CITY_ID,576,BRIAR
CITY_ID,577,BRIARCLIFF
CITY_ID,578,BRIAROAKS
CITY_ID,579,BROADDUS
CITY_ID,580,BRONTE
CITY_ID,581,BROOKSIDE VILLAGE
CITY_ID,582,BROWNDELL
CITY_ID,583,BROWNSBORO
CITY_ID,584,BRUCEVILLE-EDDY
CITY_ID,585,BRUNDAGE
CITY_ID,586,BRUNI
CITY_ID,588,BRYSON
CITY_ID,589,BUCHANAN DAM
CITY_ID,590,BUCKHOLTS
CITY_ID,591,BUFFALO
CITY_ID,592,BUFFALO GAP
CITY_ID,593,BUFFALO SPRINGS
CITY_ID,594,BULLARD
CITY_ID,595,BULVERDE
CITY_ID,596,BUNA
CITY_ID,597,BURKE
CITY_ID,598,BURTON
CITY_ID,600,BYERS
CITY_ID,601,BYNUM
CITY_ID,602,CADDO MILLS
CITY_ID,603,CALLISBURG
CITY_ID,604,CALVERT
CITY_ID,605,CAMERON PARK
CITY_ID,607,CAMP WOOD
CITY_ID,608,CAMPBELL
CITY_ID,609,CANADIAN
CITY_ID,610,CANEY CITY
CITY_ID,612,CANUTILLO
CITY_ID,613,CANYON LAKE
CITY_ID,614,CARBON
CITY_ID,615,CARL'S CORNER
CITY_ID,616,CARMINE
CITY_ID,618,CATARINA
CITY_ID,619,CELESTE
CITY_ID,620,CELINA
CITY_ID,621,CENTERVILLE
CITY_ID,624,CHANDLER
CITY_ID,625,CHANNELVIEW
CITY_ID,626,CHANNING
CITY_ID,627,CHARLOTTE
CITY_ID,628,CHESTER
CITY_ID,629,CHICO
CITY_ID,630,CHILLICOTHE
CITY_ID,631,CHINA
CITY_ID,632,CHINA GROVE
CITY_ID,633,CHIRENO
CITY_ID,634,CHRISTINE
CITY_ID,635,CHRISTOVAL
CITY_ID,642,CLARENDON
CITY_ID,643,CLARKSVILLE CITY
CITY_ID,644,CLAUDE
CITY_ID,645,CLEAR LAKE SHORES
CITY_ID,646,CLINT
CITY_ID,647,CLOVERLEAF
CITY_ID,648,COAHOMA
CITY_ID,649,COFFEE CITY
CITY_ID,650,COLDSPRING
CITY_ID,651,COLLINSVILLE
CITY_ID,652,COLMESNEIL
CITY_ID,653,COMBINE
CITY_ID,654,COMFORT
CITY_ID,655,COMO
CITY_ID,656,CONCEPCION
CITY_ID,657,COOL
CITY_ID,658,COOLIDGE
CITY_ID,659,COOPER
CITY_ID,660,COPPER CANYON
CITY_ID,661,CORRAL CITY
CITY_ID,662,CORRIGAN
CITY_ID,663,COTTONWOOD
CITY_ID,664,COTTONWOOD SHORES
CITY_ID,665,COVE
CITY_ID,666,COVINGTON
CITY_ID,669,CRANFILLS GAP
CITY_ID,670,CRAWFORD
CITY_ID,671,CREEDMOOR
CITY_ID,672,CROSBY
CITY_ID,673,CROSBYTON
CITY_ID,675,CROSS PLAINS
CITY_ID,676,CROSS ROADS
CITY_ID,678,CROWELL
CITY_ID,680,CUMBY
CITY_ID,682,CUNEY
CITY_ID,683,CUSHING
CITY_ID,684,CUT AND SHOOT
CITY_ID,685,DAINGERFIELD
CITY_ID,686,DAISETTA
CITY_ID,687,DALWORTHINGTON GARDENS
CITY_ID,688,DAMON
CITY_ID,689,DANBURY
CITY_ID,690,DARROUZETT
CITY_ID,691,DAWSON
CITY_ID,692,DAYTON LAKES
CITY_ID,693,DE KALB
CITY_ID,694,DE LEON
CITY_ID,695,DEAN
CITY_ID,698,DELL CITY
CITY_ID,699,DEPORT
CITY_ID,700,DETROIT
CITY_ID,701,DEVERS
CITY_ID,702,DEWEYVILLE
CITY_ID,703,DICKENS
CITY_ID,704,DODD CITY
CITY_ID,705,DODSON
CITY_ID,707,DOMINO
CITY_ID,709,DORCHESTER
CITY_ID,710,DOUBLE OAK
CITY_ID,711,DOUGLASSVILLE
CITY_ID,713,DRIPPING SPRINGS
CITY_ID,714,DRISCOLL
CITY_ID,716,EARTH
CITY_ID,717,EAST BERNARD
CITY_ID,718,EAST MOUNTAIN
CITY_ID,719,EAST TAWAKONI
CITY_ID,720,EASTON
CITY_ID,721,ECTOR
CITY_ID,723,EDGEWOOD
CITY_ID,724,EDMONSON
CITY_ID,725,EDOM
CITY_ID,726,EDROY
CITY_ID,729,EL CENIZO
CITY_ID,730,EL INDIO
CITY_ID,732,ELBERT
